2021-05-07 09:51:46 upgrade tzdata:all 2020d-0+deb10u1 2021a-0+deb10u1
2021-05-07 09:51:46 status half-configured tzdata:all 2020d-0+deb10u1
2021-05-07 09:51:46 status unpacked tzdata:all 2020d-0+deb10u1
2021-05-07 09:51:46 status half-installed tzdata:all 2020d-0+deb10u1
2021-05-07 09:51:54 status unpacked tzdata:all 2021a-0+deb10u1
2021-05-07 09:51:54 upgrade iproute2:amd64 4.20.0-2 4.20.0-2+deb10u1
2021-05-07 09:51:54 status half-configured iproute2:amd64 4.20.0-2
2021-05-07 09:51:54 status unpacked iproute2:amd64 4.20.0-2
2021-05-07 09:51:54 status half-installed iproute2:amd64 4.20.0-2
2021-05-07 09:51:56 status unpacked iproute2:amd64 4.20.0-2+deb10u1
2021-05-07 09:51:56 upgrade iputils-ping:amd64 3:20180629-2+deb10u1 3:20180629-2+deb10u2
2021-05-07 09:51:56 status half-configured iputils-ping:amd64 3:20180629-2+deb10u1
2021-05-07 09:51:56 status unpacked iputils-ping:amd64 3:20180629-2+deb10u1
2021-05-07 09:51:56 status half-installed iputils-ping:amd64 3:20180629-2+deb10u1
2021-05-07 09:51:56 status unpacked iputils-ping:amd64 3:20180629-2+deb10u2
2021-05-07 09:51:56 startup packages configure
2021-05-07 09:51:56 configure iproute2:amd64 4.20.0-2+deb10u1 <none>
2021-05-07 09:51:56 status unpacked iproute2:amd64 4.20.0-2+deb10u1
2021-05-07 09:51:56 status half-configured iproute2:amd64 4.20.0-2+deb10u1
2021-05-07 09:51:56 status installed iproute2:amd64 4.20.0-2+deb10u1
2021-05-07 09:51:56 configure tzdata:all 2021a-0+deb10u1 <none>
2021-05-07 09:51:56 status unpacked tzdata:all 2021a-0+deb10u1
2021-05-07 09:51:56 status half-configured tzdata:all 2021a-0+deb10u1
2021-05-07 09:51:56 status installed tzdata:all 2021a-0+deb10u1
2021-05-07 09:51:56 configure iputils-ping:amd64 3:20180629-2+deb10u2 <none>
2021-05-07 09:51:56 status unpacked iputils-ping:amd64 3:20180629-2+deb10u2
2021-05-07 09:51:56 status half-configured iputils-ping:amd64 3:20180629-2+deb10u2
2021-05-07 09:51:56 status installed iputils-ping:amd64 3:20180629-2+deb10u2
2021-05-07 09:51:56 trigproc libc-bin:amd64 2.28-10 <none>
2021-05-07 09:51:56 status half-configured libc-bin:amd64 2.28-10
